,educ,fdm01a,di01a,pa02a
320,HOCHSCHULREIFE,DEUTSCHLAND,700,MITTEL
321,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
322,MITTLERE REIFE,DEUTSCHLAND,1200,MITTEL
323,HOCHSCHULREIFE,CHINA,200,UEBERHAUPT NICHT
324,HOCHSCHULREIFE,DEUTSCHLAND,2500,MITTEL
325,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
326,FACHHOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,WENIG
327,MITTLERE REIFE,DEUTSCHLAND,1600,MITTEL
328,HOCHSCHULREIFE,DEUTSCHLAND,2500,STARK
329,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
330,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
331,"VOLKS-,HAUPTSCHULE",SOWJETUNION,1500,MITTEL
332,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,750,STARK
333,HOCHSCHULREIFE,DEUTSCHLAND,3400,SEHR STARK
334,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1150,MITTEL
335,"VOLKS-,HAUPTSCHULE",BULGARIEN,KEIN EINKOMMEN,WENIG
336,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
337,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,911,MITTEL
338,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
339,MITTLERE REIFE,DEUTSCHLAND,1300,STARK
340,HOCHSCHULREIFE,DEUTSCHLAND,100,STARK
341,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,400,MITTEL
342,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
343,MITTLERE REIFE,JUGOSLAWIEN,VERWEIGERT,MITTEL
344,HOCHSCHULREIFE,DEUTSCHLAND,1000,STARK
345,HOCHSCHULREIFE,DEUTSCHLAND,500,SEHR STARK
346,MITTLERE REIFE,DEUTSCHLAND,2300,MITTEL
347,MITTLERE REIFE,DEUTSCHLAND,1200,SEHR STARK
348,HOCHSCHULREIFE,DEUTSCHLAND,2500,STARK
349,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
350,MITTLERE REIFE,DEUTSCHLAND,590,MITTEL
351,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,2700,STARK
352,HOCHSCHULREIFE,DEUTSCHLAND,5200,SEHR STARK
353,HOCHSCHULREIFE,DEUTSCHLAND,1187,MITTEL
354,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1700,MITTEL
355,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
356,HOCHSCHULREIFE,DEUTSCHLAND,1900,MITTEL
357,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,STARK
358,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1260,STARK
359,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
360,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,850,STARK
361,HOCHSCHULREIFE,DEUTSCHLAND,3500,WENIG
362,HOCHSCHULREIFE,DEUTSCHLAND,5000,STARK
363,MITTLERE REIFE,DEUTSCHLAND,1100,STARK
364,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1221,MITTEL
